Timestamp;precipitationIntensity_mm_h;precipitationIntensity_mm_min;precipitationQuantityAbs_mm;precipitationQuantityDiff_mm;precipitationType
2024-07-01 00:06:01;0;0;58.21;0;0
2024-07-01 00:16:01;0;0;58.21;0;0
2024-07-01 00:26:01;0;0;58.21;0;0
2024-07-01 00:36:01;0;0;58.21;0;0
2024-07-01 00:46:02;0;0;58.21;0;0
2024-07-01 00:56:03;0;0;58.21;0;0
2024-07-01 01:06:02;0;0;58.21;0;60
2024-07-01 01:16:02;0;0;58.21;0;0
2024-07-01 01:26:02;0.1;0.002;58.22;0.01;60
2024-07-01 01:36:02;0;0;58.22;0;0
2024-07-01 01:46:03;0;0;58.22;0;0
2024-07-01 01:56:03;0;0;58.22;0;0
2024-07-01 02:06:02;0;0;58.22;0;0
2024-07-01 02:16:02;0;0;58.22;0;0
2024-07-01 02:26:02;0;0;58.22;0;0
2024-07-01 02:36:02;0;0;58.25;0.03;60
2024-07-01 02:46:02;0;0;58.25;0;60
2024-07-01 02:56:02;0;0;58.25;0;0
2024-07-01 03:06:02;0;0;58.26;0.01;0
2024-07-01 03:16:03;0.1;0.002;58.26;0;60
2024-07-01 03:26:04;0.2;0.003;58.28;0.02;60
2024-07-01 03:36:03;0.2;0.003;58.33;0.05;60
2024-07-01 03:46:04;0.2;0.003;58.36;0.03;60
2024-07-01 03:56:03;0.2;0.003;58.39;0.03;60
2024-07-01 04:06:03;0.9;0.015;58.47;0.08;60
2024-07-01 04:16:03;2.8;0.047;58.84;0.37;60
2024-07-01 04:26:03;1.5;0.025;59.17;0.33;60
2024-07-01 04:36:03;5.4;0.09;59.78;0.61;60
2024-07-01 04:46:05;1.4;0.023;60.47;0.69;60
2024-07-01 04:56:05;1.4;0.023;60.81;0.34;60
2024-07-01 05:06:04;4.5;0.075;61.87;1.06;60
2024-07-01 05:16:04;9.1;0.152;62.72;0.85;60
2024-07-01 05:26:04;4.8;0.08;63.75;1.03;60
2024-07-01 05:36:04;3;0.05;64.5;0.75;60
2024-07-01 05:46:04;4.3;0.072;65.13;0.63;60
2024-07-01 05:56:04;3;0.05;65.9;0.77;60
2024-07-01 06:06:04;3.3;0.055;66.54;0.64;60
2024-07-01 06:16:04;2.9;0.048;67.05;0.51;60
2024-07-01 06:26:04;1.1;0.018;67.46;0.41;60
2024-07-01 06:36:06;3.1;0.052;67.75;0.29;60
2024-07-01 06:46:05;1.8;0.03;68.17;0.42;60
2024-07-01 06:56:06;1.7;0.028;68.55;0.38;60
2024-07-01 07:06:06;1.1;0.018;68.8;0.25;60
2024-07-01 07:16:06;2;0.033;69.15;0.35;60
2024-07-01 07:26:06;0.6;0.01;69.36;0.21;60
2024-07-01 07:36:06;0.2;0.003;69.45;0.09;60
2024-07-01 07:46:05;0.2;0.003;69.48;0.03;60
2024-07-01 07:56:06;0.5;0.008;69.53;0.05;60
2024-07-01 08:06:05;0.1;0.002;69.55;0.02;60
2024-07-01 08:16:06;0.2;0.003;69.63;0.08;60
2024-07-01 08:26:06;1.7;0.028;69.84;0.21;60
2024-07-01 08:36:06;0.1;0.002;69.89;0.05;60
2024-07-01 08:46:06;0.2;0.003;69.91;0.02;60
2024-07-01 08:56:06;0.1;0.002;69.93;0.02;60
2024-07-01 09:06:06;0;0;69.93;0;0
2024-07-01 09:16:06;0;0;69.93;0;0
2024-07-01 09:26:06;0;0;69.93;0;0
2024-07-01 09:36:06;0.4;0.007;70.21;0.28;60
2024-07-01 09:46:06;1.5;0.025;70.42;0.21;60
2024-07-01 09:56:08;0.4;0.007;70.59;0.17;60
2024-07-01 10:06:07;0.2;0.003;70.71;0.12;60
2024-07-01 10:16:07;0.1;0.002;70.74;0.03;60
2024-07-01 10:26:07;0.1;0.002;70.76;0.02;60
2024-07-01 10:36:07;0;0;70.76;0;0
2024-07-01 10:46:07;0;0;70.76;0;0
2024-07-01 10:56:07;0;0;70.76;0;0
2024-07-01 11:06:07;0;0;70.76;0;0
2024-07-01 11:16:08;0;0;70.76;0;0
2024-07-01 11:26:09;0;0;70.76;0;0
2024-07-01 11:36:09;0;0;70.76;0;0
2024-07-01 11:46:09;0;0;70.76;0;0
2024-07-01 11:56:08;0;0;70.76;0;0
2024-07-01 12:06:08;0;0;70.76;0;0
2024-07-01 12:16:09;0;0;70.76;0;0
2024-07-01 12:26:08;0;0;70.76;0;0
2024-07-01 12:36:08;0;0;70.76;0;0
2024-07-01 12:46:10;0;0;70.76;0;0
2024-07-01 12:56:08;0;0;70.76;0;0
2024-07-01 13:06:08;0;0;70.76;0;0
2024-07-01 13:16:09;0;0;70.76;0;0
2024-07-01 13:26:10;0;0;70.76;0;0
2024-07-01 13:36:10;0;0;70.76;0;0
2024-07-01 13:46:09;0;0;70.76;0;0
2024-07-01 13:56:10;0;0;70.76;0;0
2024-07-01 14:06:09;0;0;70.76;0;0
2024-07-01 14:16:09;0;0;70.76;0;0
2024-07-01 14:26:09;0;0;70.76;0;0
2024-07-01 14:36:11;0;0;70.76;0;0
2024-07-01 14:46:09;0;0;70.76;0;0
2024-07-01 14:56:10;0;0;70.76;0;0
2024-07-01 15:06:10;0;0;70.76;0;0
2024-07-01 15:16:10;0;0;70.76;0;0
2024-07-01 15:26:10;0;0;70.76;0;0
2024-07-01 15:36:10;0;0;70.76;0;0
2024-07-01 15:46:10;0;0;70.76;0;0
2024-07-01 15:56:11;0;0;70.76;0;0
2024-07-01 16:06:11;0;0;70.76;0;0
2024-07-01 16:16:11;0;0;70.76;0;0
2024-07-01 16:26:10;0;0;70.76;0;0
2024-07-01 16:36:11;0;0;70.76;0;0
2024-07-01 16:46:11;0;0;70.76;0;0
2024-07-01 16:56:12;0;0;70.76;0;0
2024-07-01 17:06:13;0;0;70.76;0;0
2024-07-01 17:16:11;0;0;70.76;0;0
2024-07-01 17:26:11;0;0;70.76;0;0
2024-07-01 17:36:11;0;0;70.76;0;0
2024-07-01 17:46:11;0.3;0.005;70.77;0.01;60
2024-07-01 17:56:11;0;0;70.79;0.02;60
2024-07-01 18:06:11;0.2;0.003;70.86;0.07;60
2024-07-01 18:16:12;0;0;71.09;0.23;0
2024-07-01 18:26:13;0;0;71.1;0.01;60
2024-07-01 18:36:13;0.1;0.002;71.13;0.03;60
2024-07-01 18:46:12;0.3;0.005;71.19;0.06;60
2024-07-01 18:56:13;0.5;0.008;71.25;0.06;60
2024-07-01 19:06:12;0;0;71.26;0.01;60
2024-07-01 19:16:12;0;0;71.26;0;0
2024-07-01 19:26:12;0;0;71.26;0;0
2024-07-01 19:36:13;0;0;71.26;0;60
2024-07-01 19:46:14;0;0;71.26;0;0
2024-07-01 19:56:14;0;0;71.27;0.01;0
2024-07-01 20:06:14;0;0;71.27;0;0
2024-07-01 20:16:13;0;0;71.27;0;0
2024-07-01 20:26:14;0;0;71.27;0;0
2024-07-01 20:36:13;0;0;71.27;0;0
2024-07-01 20:46:14;0;0;71.27;0;0
2024-07-01 20:56:13;0;0;71.27;0;0
2024-07-01 21:06:13;0;0;71.27;0;0
2024-07-01 21:16:13;0;0;71.27;0;0
2024-07-01 21:26:14;0;0;71.27;0;0
2024-07-01 21:36:14;0;0;71.27;0;0
2024-07-01 21:46:15;0;0;71.27;0;0
2024-07-01 21:56:15;0;0;71.27;0;0
2024-07-01 22:06:14;0;0;71.27;0;0
2024-07-01 22:16:14;0;0;71.27;0;0
2024-07-01 22:26:15;0;0;71.27;0;0
2024-07-01 22:36:15;0;0;71.27;0;0
2024-07-01 22:46:14;0;0;71.27;0;0
2024-07-01 22:56:16;0;0;71.27;0;0
2024-07-01 23:06:16;0;0;71.27;0;0
2024-07-01 23:16:15;0;0;71.27;0;0
2024-07-01 23:36:16;0;0;71.27;0;0
2024-07-01 23:46:16;0;0;71.27;0;0
2024-07-01 23:56:16;0;0;71.27;0;0
2024-07-02 00:06:16;0;0;71.27;0;0
2024-07-02 00:16:15;0;0;71.27;0;0
2024-07-02 00:26:16;0;0;71.27;0;0
2024-07-02 00:36:16;0;0;71.27;0;0
2024-07-02 00:46:16;0;0;71.27;0;0
2024-07-02 00:56:17;0;0;71.27;0;0
