Timestamp;precipitationIntensity_mm_h;precipitationIntensity_mm_min;precipitationQuantityAbs_mm;precipitationQuantityDiff_mm;precipitationType
2022-01-01 00:05:00;0;0;71.64;0;0
2022-01-01 00:15:00;0;0;71.64;0;0
2022-01-01 00:25:00;0;0;71.64;0;0
2022-01-01 00:35:00;0;0;71.64;0;0
2022-01-01 00:45:00;0;0;71.64;0;0
2022-01-01 00:55:00;0;0;71.64;0;0
2022-01-01 01:05:00;0;0;71.64;0;0
2022-01-01 01:15:00;0;0;71.64;0;0
2022-01-01 01:25:00;0;0;71.64;0;0
2022-01-01 01:35:01;0;0;71.64;0;0
2022-01-01 01:45:01;0;0;71.64;0;0
2022-01-01 01:55:01;0;0;71.64;0;0
2022-01-01 02:05:01;0;0;71.64;0;0
2022-01-01 02:15:01;0;0;71.64;0;0
2022-01-01 02:25:01;0;0;71.64;0;0
2022-01-01 02:35:01;0;0;71.64;0;0
2022-01-01 02:45:01;0;0;71.64;0;0
2022-01-01 02:55:02;0;0;71.64;0;0
2022-01-01 03:05:02;0;0;71.64;0;0
2022-01-01 03:15:02;0;0;71.64;0;0
2022-01-01 03:25:02;0;0;71.64;0;0
2022-01-01 03:35:02;0;0;71.64;0;0
2022-01-01 03:45:02;0;0;71.64;0;0
2022-01-01 03:55:02;0;0;71.64;0;0
2022-01-01 04:05:02;0;0;71.64;0;0
2022-01-01 04:15:02;0;0;71.64;0;0
2022-01-01 04:25:02;0;0;71.64;0;0
2022-01-01 04:35:03;0;0;71.64;0;0
2022-01-01 04:45:03;0;0;71.64;0;0
2022-01-01 04:55:03;0;0;71.64;0;0
2022-01-01 05:05:03;0;0;71.64;0;0
2022-01-01 05:15:03;0;0;71.64;0;0
2022-01-01 05:25:03;0;0;71.64;0;0
2022-01-01 05:35:03;0;0;71.64;0;0
2022-01-01 05:45:03;0;0;71.64;0;0
2022-01-01 05:55:03;0;0;71.64;0;0
2022-01-01 06:05:04;0;0;71.64;0;0
2022-01-01 06:15:03;0;0;71.64;0;0
2022-01-01 06:25:03;0;0;71.64;0;0
2022-01-01 06:35:04;0;0;71.64;0;0
2022-01-01 06:45:04;0;0;71.64;0;0
