Timestamp;precipitationIntensity_mm_h;precipitationIntensity_mm_min;precipitationQuantityAbs_mm;precipitationQuantityDiff_mm;precipitationType
2023-01-01 00:00:40;0.2;0.003;38.42;0.06;69
2023-01-01 00:10:40;0.1;0.002;38.44;0.02;70
2023-01-01 00:20:41;0.1;0.002;38.45;0.01;69
2023-01-01 00:30:40;0.1;0.002;38.47;0.02;70
2023-01-01 00:40:40;0.1;0.002;38.51;0.04;69
2023-01-01 00:50:40;0;0;38.51;0;69
2023-01-01 01:00:40;0;0;38.53;0.02;70
2023-01-01 01:10:40;0;0;38.56;0.03;0
2023-01-01 01:20:41;0.1;0.002;38.57;0.01;70
2023-01-01 01:30:41;0;0;38.59;0.02;69
2023-01-01 01:40:41;0.2;0.003;38.6;0.01;69
2023-01-01 01:50:41;0.8;0.013;38.64;0.04;69
2023-01-01 02:00:42;0.1;0.002;38.74;0.1;69
2023-01-01 02:10:41;0.4;0.007;38.85;0.11;69
2023-01-01 02:20:42;0;0;38.88;0.03;69
2023-01-01 02:30:41;0;0;38.88;0;69
2023-01-01 02:40:41;0.2;0.003;38.9;0.02;69
2023-01-01 02:50:41;0.1;0.002;38.92;0.02;69
2023-01-01 03:00:42;0;0;38.93;0.01;70
2023-01-01 03:10:42;0;0;38.94;0.01;0
2023-01-01 03:20:43;0.2;0.003;38.95;0.01;69
2023-01-01 03:30:42;0;0;38.95;0;0
2023-01-01 03:40:42;0.1;0.002;38.96;0.01;69
2023-01-01 03:50:42;0.1;0.002;38.99;0.03;70
2023-01-01 04:00:42;0;0;39;0.01;0
2023-01-01 04:10:42;0;0;39;0;0
2023-01-01 04:20:43;0;0;39;0;0
2023-01-01 04:30:43;0;0;39;0;0
2023-01-01 04:40:42;0;0;39;0;0
2023-01-01 04:50:43;0;0;39;0;0
2023-01-01 05:00:43;0;0;39;0;0
2023-01-01 05:10:43;0;0;39;0;0
2023-01-01 05:20:43;0;0;39;0;0
2023-01-01 05:30:43;0;0;39;0;0
2023-01-01 05:40:44;0;0;39;0;0
2023-01-01 05:50:43;0;0;39;0;0
2023-01-01 06:00:43;0;0;39;0;0
2023-01-01 06:10:43;0;0;39;0;0
2023-01-01 06:20:44;0;0;39;0;0
2023-01-01 06:30:44;0;0;39;0;0
2023-01-01 06:40:44;0;0;39;0;0
2023-01-01 06:50:45;0;0;39;0;0
2023-01-01 07:00:44;0;0;39;0;0
2023-01-01 07:10:44;0;0;39;0;0
2023-01-01 07:20:44;0;0;39;0;0
2023-01-01 07:30:44;0;0;39;0;0
2023-01-01 07:40:44;0;0;39;0;0
2023-01-01 07:50:45;0;0;39;0;0
2023-01-01 08:00:45;0;0;39;0;0
2023-01-01 08:10:45;0;0;39;0;0
2023-01-01 08:20:45;0;0;39;0;0
2023-01-01 08:30:45;0;0;39;0;0
2023-01-01 08:40:45;0;0;39;0;0
2023-01-01 08:50:45;0;0;39;0;0
2023-01-01 09:00:45;0;0;39;0;0
2023-01-01 09:10:46;0;0;39;0;0
2023-01-01 09:20:46;0;0;39;0;0
2023-01-01 09:30:45;0;0;39;0;0
2023-01-01 09:40:45;0;0;39;0;0
2023-01-01 09:50:46;0;0;39;0;0
2023-01-01 10:00:46;0;0;39;0;0
2023-01-01 10:10:46;0;0;39;0;0
2023-01-01 10:20:47;0;0;39;0;0
2023-01-01 10:30:47;0;0;39;0;0
2023-01-01 10:40:46;0;0;39;0;0
2023-01-01 10:50:46;0;0;39;0;0
2023-01-01 11:00:46;0;0;39;0;0
2023-01-01 11:10:47;0;0;39;0;0
2023-01-01 11:20:46;0;0;39;0;0
2023-01-01 11:30:47;0;0;39;0;0
2023-01-01 11:40:47;0;0;39;0;0
2023-01-01 11:50:47;0;0;39;0;0
2023-01-01 12:00:47;0;0;39;0;0
2023-01-01 12:10:47;0;0;39;0;0
2023-01-01 12:20:47;0;0;39;0;0
2023-01-01 12:30:47;0;0;39;0;0
2023-01-01 12:40:48;0;0;39;0;0
2023-01-01 12:50:47;0;0;39;0;0
2023-01-01 13:00:47;0;0;39;0;0
2023-01-01 13:10:48;0;0;39;0;0
2023-01-01 13:20:48;0;0;39;0;0
2023-01-01 13:30:48;0;0;39;0;0
2023-01-01 13:40:48;0;0;39;0;0
2023-01-01 13:50:49;0;0;39;0;0
2023-01-01 14:00:49;0;0;39;0;0
2023-01-01 14:10:48;0;0;39;0;0
2023-01-01 14:20:49;0;0;39;0;0
2023-01-01 14:30:49;0;0;39;0;0
2023-01-01 14:40:48;0;0;39;0;0
2023-01-01 14:50:50;0;0;39;0;0
2023-01-01 15:00:49;0;0;39;0;0
2023-01-01 15:10:49;0;0;39;0;0
2023-01-01 15:20:49;0;0;39;0;0
2023-01-01 15:30:50;0;0;39;0;0
2023-01-01 15:40:50;0;0;39;0;0
2023-01-01 15:50:49;0;0;39;0;0
2023-01-01 16:00:49;0;0;39;0;0
2023-01-01 16:10:49;0;0;39;0;0
2023-01-01 16:20:49;0;0;39;0;0
2023-01-01 16:30:50;0;0;39;0;0
2023-01-01 16:40:50;0;0;39;0;0
2023-01-01 16:50:50;0;0;39;0;0
2023-01-01 17:00:50;0;0;39;0;0
2023-01-01 17:10:51;0;0;39;0;0
2023-01-01 17:20:50;0;0;39;0;0
2023-01-01 17:30:50;0;0;39;0;0
2023-01-01 17:40:50;0;0;39;0;0
2023-01-01 17:50:50;0;0;39;0;0
2023-01-01 18:00:50;0;0;39;0;0
2023-01-01 18:10:51;0;0;39;0;0
2023-01-01 18:20:51;0;0;39;0;0
2023-01-01 18:30:51;0;0;39;0;0
2023-01-01 18:40:51;0;0;39;0;0
2023-01-01 18:50:51;0;0;39;0;0
2023-01-01 19:00:51;0;0;39;0;0
2023-01-01 19:10:52;0;0;39;0;0
2023-01-01 19:20:51;0;0;39;0;0
2023-01-01 19:30:51;0;0;39;0;0
2023-01-01 19:40:52;0;0;39;0;0
2023-01-01 19:50:52;0;0;39;0;0
2023-01-01 20:00:52;0;0;39;0;0
2023-01-01 20:10:53;0;0;39;0;0
2023-01-01 20:20:52;0;0;39;0;0
