Timestamp;precipitationIntensity_mm_h;precipitationIntensity_mm_min;precipitationQuantityAbs_mm;precipitationQuantityDiff_mm;precipitationType
2021-07-01 00:09:40;0;0;114.94;0;60
2021-07-01 00:19:39;0;0;114.94;0;60
2021-07-01 00:29:40;0;0;114.94;0;60
2021-07-01 00:39:40;0;0;114.94;0;0
2021-07-01 00:49:40;0;0;114.94;0;0
2021-07-01 00:59:40;0;0;114.94;0;0
2021-07-01 01:09:40;0;0;114.94;0;0
2021-07-01 01:19:40;0;0;114.94;0;0
2021-07-01 01:29:40;0;0;114.94;0;0
2021-07-01 01:39:40;0;0;114.94;0;0
2021-07-01 01:49:40;0;0;114.94;0;0
2021-07-01 01:59:41;0;0;114.94;0;0
2021-07-01 02:09:42;0;0;114.94;0;0
2021-07-01 02:19:41;0;0;114.94;0;0
2021-07-01 02:29:41;0;0;114.94;0;0
2021-07-01 02:39:42;0;0;114.94;0;0
2021-07-01 02:49:41;0;0;114.94;0;0
2021-07-01 02:59:42;0;0;114.94;0;0
2021-07-01 03:09:41;0;0;114.94;0;0
2021-07-01 03:19:41;0;0;114.94;0;0
2021-07-01 03:29:42;0;0;114.94;0;0
2021-07-01 03:39:42;0;0;114.94;0;0
2021-07-01 03:49:42;0;0;114.94;0;0
2021-07-01 03:59:42;0;0;114.94;0;0
2021-07-01 04:09:42;0;0;114.94;0;0
2021-07-01 04:19:42;0;0;114.94;0;0
2021-07-01 04:29:43;0;0;114.94;0;0
2021-07-01 04:39:43;0;0;114.94;0;0
2021-07-01 04:49:43;0;0;114.94;0;0
2021-07-01 04:59:42;0;0;114.94;0;0
2021-07-01 05:09:42;0;0;114.94;0;0
2021-07-01 05:19:43;0;0;114.94;0;0
2021-07-01 05:29:43;0;0;114.94;0;0
2021-07-01 05:39:43;0;0;114.94;0;0
2021-07-01 05:49:43;0;0;114.94;0;0
2021-07-01 05:59:44;0;0;114.94;0;0
2021-07-01 06:09:43;0;0;114.94;0;0
2021-07-01 06:19:44;0;0;114.94;0;0
2021-07-01 06:29:43;0;0;114.94;0;0
2021-07-01 06:39:44;0;0;114.94;0;0
