Timestamp;precipitationIntensity_mm_h;precipitationIntensity_mm_min;precipitationQuantityAbs_mm;precipitationQuantityDiff_mm;precipitationType
2023-07-01 00:02:16;0;0;72.32;0;0
2023-07-01 00:12:16;0;0;72.32;0;0
2023-07-01 00:22:16;0;0;72.32;0;0
2023-07-01 00:32:16;0;0;72.32;0;0
2023-07-01 00:42:16;0;0;72.32;0;0
2023-07-01 00:52:17;0;0;72.32;0;0
2023-07-01 01:02:17;0;0;72.32;0;0
2023-07-01 01:12:17;0;0;72.32;0;0
2023-07-01 01:22:17;0;0;72.32;0;0
2023-07-01 01:32:17;0;0;72.32;0;0
2023-07-01 01:42:17;0;0;72.32;0;0
2023-07-01 01:52:17;0;0;72.32;0;0
2023-07-01 02:02:18;0;0;72.32;0;0
2023-07-01 02:12:18;0;0;72.32;0;0
2023-07-01 02:22:17;0;0;72.33;0.01;0
2023-07-01 02:32:18;0;0;72.33;0;0
2023-07-01 02:42:18;0.1;0.002;72.33;0;60
2023-07-01 02:52:18;0;0;72.36;0.03;60
2023-07-01 03:02:18;1;0.017;72.46;0.1;60
2023-07-01 03:12:19;0.2;0.003;72.57;0.11;60
2023-07-01 03:22:18;0;0;72.58;0.01;60
2023-07-01 03:32:18;0;0;72.58;0;0
2023-07-01 03:42:18;0;0;72.58;0;0
2023-07-01 03:52:18;1.1;0.018;72.64;0.06;60
2023-07-01 04:02:19;0;0;72.66;0.02;0
2023-07-01 04:12:19;0;0;72.66;0;0
2023-07-01 04:22:19;0;0;72.66;0;0
2023-07-01 04:32:19;0;0;72.66;0;0
2023-07-01 04:42:20;0;0;72.66;0;0
2023-07-01 04:52:20;0;0;72.66;0;0
2023-07-01 05:02:19;0.1;0.002;72.67;0.01;60
2023-07-01 05:12:19;0;0;72.68;0.01;0
2023-07-01 05:22:19;0;0;72.68;0;0
2023-07-01 05:32:19;0;0;72.68;0;0
2023-07-01 05:42:20;0;0;72.68;0;0
2023-07-01 05:52:20;0;0;72.68;0;0
2023-07-01 06:02:20;0;0;72.68;0;0
2023-07-01 06:12:21;0;0;72.68;0;0
2023-07-01 06:22:20;0;0;72.68;0;0
2023-07-01 06:32:21;0;0;72.68;0;0
2023-07-01 06:42:21;0;0;72.68;0;0
2023-07-01 06:52:20;0;0;72.68;0;0
2023-07-01 07:02:21;0;0;72.68;0;0
2023-07-01 07:12:20;0;0;72.68;0;0
2023-07-01 07:22:21;0;0;72.68;0;0
2023-07-01 07:32:21;0;0;72.68;0;0
2023-07-01 07:42:21;0;0;72.68;0;0
2023-07-01 07:52:21;0;0;72.68;0;0
2023-07-01 08:02:21;0;0;72.68;0;0
2023-07-01 08:12:22;0;0;72.68;0;0
2023-07-01 08:22:21;0;0;72.68;0;0
2023-07-01 08:32:21;0;0;72.68;0;0
2023-07-01 08:42:21;0;0;72.68;0;0
2023-07-01 08:52:22;0;0;72.68;0;0
2023-07-01 09:02:22;0;0;72.68;0;0
2023-07-01 09:12:22;0;0;72.68;0;0
2023-07-01 09:22:22;0;0;72.68;0;0
2023-07-01 09:32:23;0;0;72.68;0;0
2023-07-01 09:42:22;0;0;72.68;0;0
2023-07-01 09:52:22;0;0;72.68;0;0
2023-07-01 10:02:22;0;0;72.68;0;0
2023-07-01 10:12:22;0;0;72.68;0;0
2023-07-01 10:22:22;0;0;72.68;0;0
2023-07-01 10:32:23;0;0;72.68;0;0
2023-07-01 10:42:23;0;0;72.68;0;0
2023-07-01 10:52:25;0.2;0.003;72.68;0;60
2023-07-01 11:02:23;0;0;72.69;0.01;0
2023-07-01 11:12:24;0;0;72.69;0;0
2023-07-01 11:22:23;0;0;72.69;0;0
2023-07-01 11:32:23;0;0;72.69;0;0
2023-07-01 11:42:23;0;0;72.69;0;0
