Timestamp;precipitationIntensity_mm_h;precipitationIntensity_mm_min;precipitationQuantityAbs_mm;precipitationQuantityDiff_mm;precipitationType
2025-01-01 00:03:05;0;0;57.26;0;0
2025-01-01 00:13:05;0;0;57.26;0;0
2025-01-01 00:23:06;0;0;57.26;0;0
2025-01-01 00:33:05;0;0;57.26;0;0
2025-01-01 00:43:06;0;0;57.26;0;0
2025-01-01 00:53:06;0;0;57.26;0;0
2025-01-01 01:03:06;0;0;57.26;0;0
2025-01-01 01:13:06;0;0;57.26;0;0
2025-01-01 01:23:06;0;0;57.26;0;0
2025-01-01 01:33:06;0;0;57.26;0;0
2025-01-01 01:43:06;0;0;57.26;0;0
2025-01-01 01:53:07;0;0;57.26;0;0
2025-01-01 02:03:07;0;0;57.26;0;0
2025-01-01 02:13:07;0;0;57.26;0;0
2025-01-01 02:23:07;0;0;57.26;0;0
2025-01-01 02:33:07;0;0;57.26;0;0
2025-01-01 02:43:07;0;0;57.26;0;0
2025-01-01 02:53:07;0;0;57.26;0;0
2025-01-01 03:03:07;0;0;57.26;0;0
2025-01-01 03:13:07;0;0;57.26;0;0
2025-01-01 03:23:07;0;0;57.26;0;0
2025-01-01 03:33:07;0;0;57.26;0;0
2025-01-01 03:43:07;0;0;57.26;0;0
2025-01-01 03:53:08;0;0;57.26;0;0
2025-01-01 04:03:08;0;0;57.26;0;0
2025-01-01 04:13:08;0;0;57.26;0;0
2025-01-01 04:23:08;0;0;57.26;0;0
2025-01-01 04:33:08;0;0;57.26;0;0
2025-01-01 04:43:08;0;0;57.26;0;0
2025-01-01 04:53:08;0;0;57.26;0;0
2025-01-01 05:03:08;0;0;57.26;0;0
2025-01-01 05:13:08;0;0;57.26;0;0
2025-01-01 05:23:09;0;0;57.26;0;0
2025-01-01 05:33:09;0;0;57.26;0;0
2025-01-01 05:43:09;0;0;57.26;0;0
2025-01-01 05:53:09;0;0;57.26;0;0
2025-01-01 06:03:09;0;0;57.26;0;0
2025-01-01 06:13:09;0;0;57.26;0;0
2025-01-01 06:23:09;0;0;57.26;0;0
2025-01-01 06:33:09;0;0;57.26;0;0
2025-01-01 06:43:09;0;0;57.26;0;0
2025-01-01 06:53:10;0;0;57.26;0;0
2025-01-01 07:03:10;0;0;57.26;0;0
2025-01-01 07:13:10;0;0;57.26;0;0
2025-01-01 07:23:09;0;0;57.26;0;0
2025-01-01 07:33:10;0;0;57.26;0;0
2025-01-01 07:43:10;0;0;57.26;0;0
